feature,original_name,domain,description,source_table,included_in_base_65
long,Long,Temporal,an event that lasts for a long period of time,T0002-10.1080%2F02643294.2016.1147426.csv,yes
short,Short,Temporal,an event that lasts for a short period of time,T0002-10.1080%2F02643294.2016.1147426.csv,yes
caused,Caused,Causal,"caused by some clear preceding event, action, or situation",T0002-10.1080%2F02643294.2016.1147426.csv,yes
consequential,Consequential,Causal,likely to have consequences (cause other things to happen),T0002-10.1080%2F02643294.2016.1147426.csv,yes
social,Social,Social,an activity or event that involves an interaction between people,T0002-10.1080%2F02643294.2016.1147426.csv,yes
human,Human,Social,"having human or human-like intentions, plans, or goals",T0002-10.1080%2F02643294.2016.1147426.csv,yes
communication,Communication,Social,a thing or action that people use to communicate,T0002-10.1080%2F02643294.2016.1147426.csv,yes
self,Self,Social,"related to your own view of yourself, a part of YOUR self-image",T0002-10.1080%2F02643294.2016.1147426.csv,yes
cognition,Cognition,Cognition,a form of mental activity or a function of the mind,T0002-10.1080%2F02643294.2016.1147426.csv,yes
benefit,Benefit,Emotion,someone or something that could help or benefit you or others,T0002-10.1080%2F02643294.2016.1147426.csv,yes
harm,Harm,Emotion,someone or something that could cause harm to you or others,T0002-10.1080%2F02643294.2016.1147426.csv,yes
pleasant,Pleasant,Emotion,someone or something that you find pleasant,T0002-10.1080%2F02643294.2016.1147426.csv,yes
unpleasant,Unpleasant,Emotion,someone or something that you find unpleasant,T0002-10.1080%2F02643294.2016.1147426.csv,yes
happy,Happy,Emotion,someone or something that makes you feel happy,T0002-10.1080%2F02643294.2016.1147426.csv,yes
sad,Sad,Emotion,someone or something that makes you feel sad,T0002-10.1080%2F02643294.2016.1147426.csv,yes
angry,Angry,Emotion,someone or something that makes you feel angry,T0002-10.1080%2F02643294.2016.1147426.csv,yes
disgusted,Disgusted,Emotion,someone or something that makes you feel disgusted,T0002-10.1080%2F02643294.2016.1147426.csv,yes
fearful,Fearful,Emotion,someone or something that makes you feel afraid,T0002-10.1080%2F02643294.2016.1147426.csv,yes
surprised,Surprised,Emotion,someone or something that makes you feel surprised,T0002-10.1080%2F02643294.2016.1147426.csv,yes
drive,Drive,Drive,someone or something that motivates you to do something,T0002-10.1080%2F02643294.2016.1147426.csv,yes
needs,Needs,Drive,someone or something that would be hard for you to live without,T0002-10.1080%2F02643294.2016.1147426.csv,yes
attention,Attention,Attention,someone or something that grabs your attention,T0002-10.1080%2F02643294.2016.1147426.csv,yes
arousal,Arousal,Attention,"someone or something that makes you feel alert, activated, excited, or keyed up in either a positive or negative way",T0002-10.1080%2F02643294.2016.1147426.csv,yes
